A	a
jednorazową	j e . d n o . r a . z oo . v o w_
jednostce	j e . d n oo s . t ts e
jednostek	j e . d n oo s . t e g
jednostek	j e . d n oo s . t e k
jednostki	j e . d n oo s . t c i
jednostkowe	j e . d n o s . t k oo . v e
jednostronne	j e . d n o s . t r oo . n n e
jednozdaniowa	j e . d n o z . d a . ni oo . v a
jednozdaniowy	j e . d n o z . d a . ni oo . v y
jednoznaczną	j e . d n o z . n aa . tSz n o w_
jedności	j e . d n oo si . tsi i
jedność	j ee . d n o si tsi
jedność	j ee . d n o zi dzi
jednych	j ee . d n y x
jednym	j ee . d n y m
jedną	j ee . d n o w_
Jedrzejczak	j e . d rZ ee j . tSz a g
Jedrzejczak	j e . d rZ ee j . tSz a k
jedyna	j e . d yy . n a
jedyne	j e . d yy . n e
jedynie	j e . d yy . ni e
Jedynki	j e . d yy N_ . c i
jedyny	j e . d yy . n y
jedynym	j e . d yy . n y m
jedyną	j e . d yy . n o w_
jedz	j ee dz
jedz	j ee ts
jedzenie	j e . dz ee . ni e
jedzą	j ee . dz o w_
Jeeli	j e . ee . l i
jego	j ee . g o
jej	j e j
Jeleniej	j e . l ee . ni e j
jeli	j ee . l i
Jem	j ee m
Jemenie	j e . m ee . ni e
Jemu	j ee . m u
Jenie	j ee . ni e
Jennifer	j e . ni ni ii . f e r
Jeorjos	j e . oo r . j o s
Jeorjos	j e . oo r . j o z
Jerozolimą	j e . r o . z o . l ii . m o w_
Jerzego	j e . rZ ee . g o
Jerzemu	j e . rZ ee . m u
Jerzy	j ee . rZ y
Jerzym	j ee . rZ y m
jesieni	j e . si ee . ni i
jesienią	j e . si ee . ni o w_
jesienna	j e . si ee . n n a
jest	j ee s t
jest	j ee z d
jeste	j ee s . t e
jestem	j ee s . t e m
jestemy	j e s . t ee . m y
jesteście	j e s . t ee si . tsi e
Jesteśmy	j e s . t ee si . m y
jesz	j ee rZ
jesz	j ee Sz
jeszcze	j ee Sz . tSz e
Jewish	j ee . v i s x
Jewish	j ee . v i z x
jezioro	j e . zi oo . r o
Jezusa	j e . z uu . s a
jezyk	j ee . z y g
jezyk	j ee . z y k
jezyka	j e . z yy . k a
jezykiem	j e . z yy . c j e m
jezyku	j e . z yy . k u
Jeśli	j ee . si l i
jeździł	j ee zi . dzi i w
jeżeli	j e . rZ ee . l i
Jiang	j aa N_ g
Jiang	j aa N_ k
Jimiego	j i m . j ee . g o
Joachim	j o . aa . x i m
Joannie	j o . aa . ni ni e
Joanny	j o . aa . n n y
joge	j oo . g e
Jose	j oo . s e
Josef	j oo . s e f
Josef	j oo . s e v
Joseph	j oo . s e b x
Joseph	j oo . s e p x
Journal	j o . uu r . n a l
Journey	j o . uu r . n e j
ju	j uu
Juana	j u . aa . n a
Julke	j uu l . k e
Julkego	j u l . k ee . g o
Jurka	j uu r . k a
Justyna	j u s . t yy . n a
jutro	j uu . t r o
już	j uu rZ
już	j uu Sz
ją	j o w_
Jądrowych	j o n . d r oo . v y x
języka	j e w_ . z yy . k a
języku	j e w_ . z yy . k u
Kabaretu	k a . b a . r ee . t u
kabinie	k a . b ii . ni e
Kac	k aa dz
Kac	k aa ts
Kaczynski	k a . tSz yy w_ . s c i
Kaczynskiego	k a . tSz y w_ . s c j ee . g o
Kaczynskiemu	k a . tSz y w_ . s c j ee . m u
Kaczyńska	k a . tSz yy j_ . s k a
Kaczyński	k a . tSz yy j_ . s c i
Kaczyńskiego	k a . tSz y j_ . s c j ee . g o
Kaczyńskiej	k a . tSz yy j_ . s c j e j
Kaczyńskiemu	k a . tSz y j_ . s c j ee . m u
Kaczyńskim	k a . tSz yy j_ . s c i m
Kada	k aa . d a
Kaddafi	k a d . d aa . f i
Kaddafiego	k a d . d a . f j ee . g o
kadego	k a . d ee . g o
kadej	k aa . d e j
kadencji	k a . d ee n . ts i
kadry	k aa . d r y
Kady	k aa . d y
kadym	k aa . d y m
kadą	k aa . d o w_
Kafki	k aa f . c i
kaganiec	k a . g aa . ni e dz
kaganiec	k a . g aa . ni e ts
Kaida	k a . ii . d a
Kaidy	k a . ii . d y
kalendarz	k a . l ee n . d a rZ
kalendarz	k a . l ee n . d a Sz
kalendarzowym	k a . l e n . d a . rZ oo . v y m
Kaliforn	k a . l ii . f o r n
Kalifornia	k a . l i . f oo r . ni a
Kalifornijczycy	k a . l i . f o r . ni i j . tSz yy . ts y
Kaliningradem	k a . l i . ni i N_ . g r aa . d e m
Kaliningradu	k a . l i . ni i N_ . g r aa . d u
Kaliningradzkiego	k a . l i . ni i N_ . g r a . ts c j ee . g o
Kaliningradzkim	k a . l i . ni i N_ . g r aa . ts c i m
Kalita	k a . l ii . t a
kalkulacje	k a l . k u . l aa . ts j e
Kalkulator	k a l . k u . l aa . t o r
kamer	k aa . m e r
kamere	k a . m ee . r e
kamery	k a . m ee . r y
kamerą	k a . m ee . r o w_
kamienicy	k a m . j e . ni ii . ts y
kamiennego	k a m . j e . n n ee . g o
Kamińskiego	k a . m i j_ . s c j ee . g o
kampan	k aa m . p a n
kampania	k a m . p aa . ni a
kampanie	k a m . p aa . ni e
kampanię	k a m . p aa . ni e
Kancelar	k a n . ts ee . l a r
Kancelaria	k a n . ts e . l aa r . j a
kancelarią	k a n . ts e . l aa r . j o w_
kancelarię	k a n . ts e . l aa r . j e
kanclerz	k aa n . ts l e rZ
kanclerz	k aa n . ts l e Sz
kanclerza	k a n . ts l ee . rZ a
Kandaharze	k a n . d a . x aa . rZ e
kandydaci	k a n . d y . d aa . tsi i
kandydata	k a n . d y . d aa . t a
kandydatem	k a n . d y . d aa . t e m
kandydatów	k a n . d y . d aa . t u f
kandydatów	k a n . d y . d aa . t u v
kandydowania	k a n . d y . d o . v aa . ni a
kandydować	k a n . d y . d oo . v a dzi
kandydować	k a n . d y . d oo . v a tsi
kandyduje	k a n . d y . d uu . j e
kanister	k a . ni ii s . t e r
kanistry	k a . ni ii s . t r y
Kano	k aa . n o
kanonach	k a . n oo . n a x
kapelan	k a . p ee . l a n
kapelusz	k a . p ee . l u rZ
kapelusz	k a . p ee . l u Sz
kapitan	k a . p ii . t a n
kapitał	k a . p ii . t a w
kapitałowe	k a . p i . t a . w oo . v e
kapitałowy	k a . p i . t a . w oo . v y
kapitałowych	k a . p i . t a . w oo . v y x
Kapituła	k a . p i . t uu . w a
kaplicy	k a . p l ii . ts y
kaprysy	k a . p r yy . s y
kaptur	k aa . p t u r
kapturem	k a . p t uu . r e m
kapustą	k a . p uu s . t o w_
kar	k aa r
Kara	k aa . r a
karaa	k a . r aa . a
karalucha	k a . r a . l uu . x a
karaluchów	k a . r a . l uu . x u f
karaluchów	k a . r a . l uu . x u v
karania	k a . r aa . ni a
karcharodontozaurydów	k a r . x a . r o . d o n . t o . z a w . r yy . d u f
karcharodontozaurydów	k a r . x a . r o . d o n . t o . z a w . r yy . d u v
kardiologia	k a r . d j o . l oo . gi j a
kardiologicznych	k a r . d j o . l o . gi ii . tSz n y x
kardioloke	k a r . d j o . l oo . k e
Kardynała	k a r . d y . n aa . w a
kare	k aa . r e
Karen	k aa . r e n
karetki	k a . r ee . t c i
kariere	k a r . j ee . r e
kariery	k a r . j ee . r y
Karierę	k a r . j ee . r e
karlowarskim	k a r . l o . v aa r . s c i m
Karnowski	k a r . n oo . f s c i
Karnowskiego	k a r . n o f s . c j ee . g o
Karnowskiemu	k a r . n o f s . c j ee . m u
Karnowskim	k a r . n oo . f s c i m
Karolina	k a . r o . l ii . n a
Karowej	k a . r oo . v e j
kart	k aa r d
kart	k aa r t
kartuzów	k a r . t uu . z u f
kartuzów	k a r . t uu . z u v
Kary	k aa . r y
Karzaja	k a . rZ aa . j a
karze	k aa . rZ e
Kasal	k aa . s a l
kasie	k aa . si e
Kasińska	k a . si ii j_ . s k a
kasy	k aa . s y
katalogach	k a . t a . l oo . g a x
katalogu	k a . t a . l oo . g u
Katarzyna	k a . t a . rZ yy . n a
Katarzyne	k a . t a . rZ yy . n e
katastrof	k a . t aa s . t r o f
katastrof	k a . t aa s . t r o v
katastrofa	k a . t a s . t r oo . f a
katastrofami	k a . t a s . t r o . f aa . m i
katastrofe	k a . t a s . t r oo . f e
katastrofie	k a . t a s . t r oo . f j e
katastrofy	k a . t a s . t r oo . f y
katastrofą	k a . t a s . t r oo . f o w_
katastrofę	k a . t a s . t r oo . f e
katecheci	k a . t e . x ee . tsi i
katecheze	k a . t e . x ee . z e
Katedre	k a . t ee . d r e
kategor	k a . t ee . g o r
Kategorycznie	k a . t e . g o . r yy . tSz ni e
katolicki	k a . t o . l ii . ts c i
Katolicy	k a . t o . l ii . ts y
katolicyzmu	k a . t o . l i . ts yy z . m u
Katowicach	k a . t o . v ii . ts a x
Katowice	k a . t o . v ii . ts e
Katowickiego	k a . t o . v i . ts c j ee . g o
katowickiej	k a . t o . v ii . ts c j e j
Katynia	k a . t yy . ni a
Katyniu	k a . t yy . ni u
katyńskie	k a . t yy j_ . s c j e
katyńskiego	k a . t y j_ . s c j ee . g o
katów	k aa . t u f
katów	k aa . t u v
kawałkami	k a . v a w . k aa . m i
Kayah	k aa . j a x
kazał	k aa . z a w
kazała	k a . z aa . w a
Kazimierza	k a . zi i m . j ee . rZ a
Kazimierzu	k a . zi i m . j ee . rZ u
Kaźmierczak	k a zi . m j ee r . tSz a g
Kaźmierczak	k a zi . m j ee r . tSz a k
Kaźmierczaka	k a zi . m j e r . tSz aa . k a
kaźni	k aa zi . ni i
Każda	k aa rZ . d a
każdego	k a rZ . d ee . g o
każdej	k aa rZ . d e j
każdy	k aa rZ . d y
każdym	k aa rZ . d y m
Kempa	k ee m . p a
kg	g g
kg	g k
kiedy	c j ee . d y
kiedyś	c j ee . d y si
kiedyś	c j ee . d y zi
kierowaa	c j e . r o . v aa . a
kierowali	c j e . r o . v aa . l i
kierowana	c j e . r o . v aa . n a
kierowane	c j e . r o . v aa . n e
kierowanego	c j e . r o . v a . n ee . g o
kierowania	c j e . r o . v aa . ni a
kierowanie	c j e . r o . v aa . ni e
kierowany	c j e . r o . v aa . n y
kierować	c j e . r oo . v a dzi
kierować	c j e . r oo . v a tsi
kierowcy	c j e . r oo f . ts y
kierownictwa	c j e . r o v . ni ii . ts t f a
kierownictwie	c j e . r o v . ni ii . ts t f j e
Kierownictwo	c j e . r o v . ni ii . ts t f o
kierownik	c j e . r oo v . ni i g
kierownik	c j e . r oo v . ni i k
Kieruj	c j ee . r u j
kieruje	c j e . r uu . j e
kierunku	c j e . r uu N_ . k u
kieszeni	c j e . Sz ee . ni i
Kieszkowska	c j e Sz . k oo . f s k a
Kieszkowskiej	c j e Sz . k oo f s . c j e j
kijami	c i . j aa . m i
kijem	c ii . j e m
Kijowie	c i . j oo v . j e
kilka	c ii l . k a
kilkadziesiąt	c i l . k a . dzi ee . si o n d
kilkadziesiąt	c i l . k a . dzi ee . si o n t
kilkanacie	c i l . k a . n aa . tsi e
kilkanaście	c i l . k a . n aa si . tsi e
kilkoma	c i l . k oo . m a
kilku	c ii l . k u
kilkudziesięciu	c i l . k u . dzi e . si ee ni . tsi u
kilkugodzinna	c i l . k u . g o . dzi ii . n n a
kilkunastomilionowe	c i l . k u . n a s . t o . m i l . j o . n oo . v e
kilkunastu	c i l . k u . n aa s . t u
kilkuset	c i l . k uu . s e d
kilkuset	c i l . k uu . s e t
kilogramów	c i . l o . g r aa . m u f
kilogramów	c i . l o . g r aa . m u v
kilometra	c i . l o . m ee . t r a
kilometrów	c i . l o . m ee . t r u f
kilometrów	c i . l o . m ee . t r u v
kim	c ii m
Kinga	c ii N_ . g a
Kingston	c ii N_ k . s t o n
klamre	k l aa m . r e
klasach	k l aa . s a x
klasie	k l aa . si e
klasy	k l aa . s y
klasztorze	k l a Sz . t oo . rZ e
klatki	k l aa . t c i
kleczał	k l ee . tSz a w
kleczea	k l e . tSz ee . a
Klega	k l ee . g a
klepikowskim	k l e . p i . k oo . f s c i m
kleski	k l ee s . c i
Klich	k l ii x
Klicha	k l ii . x a
klient	k l ii . j e n d
klient	k l ii . j e n t
klienta	k l i . j ee n . t a
klientach	k l i . j ee n . t a x
klientów	k l i . j ee n . t u f
klientów	k l i . j ee n . t u v
klika	k l ii . k a
klimacie	k l i . m aa . tsi e
Klimat	k l ii . m a d
Klimat	k l ii . m a t
klimatem	k l i . m aa . t e m
klimatolodzy	k l i . m a . t o . l oo . dz y
klimatolog	k l i . m a . t oo . l o g
klimatolog	k l i . m a . t oo . l o k
klimatologów	k l i . m a . t o . l oo . g u f
klimatologów	k l i . m a . t o . l oo . g u v
Klimatu	k l i . m aa . t u
klimatyczne	k l i . m a . t yy . tSz n e
klinice	k l i . ni ii . ts e
klony	k l oo . n y
klub	k l uu b
klub	k l uu p
klubie	k l uu . b j e
klubu	k l uu . b u
kluby	k l uu . b y
klubów	k l uu . b u f
klubów	k l uu . b u v
klucz	k l uu drZ
klucz	k l uu tSz
kluczowej	k l u . tSz oo . v e j
kluczowych	k l u . tSz oo . v y x
Kluzik	k l uu . zi i g
Kluzik	k l uu . zi i k
klęską	k l ee w_ . s k o w_
klęskę	k l ee w_ . s k e
km	k m
kmdr	k m d r
kmdr	k m t r
Knapik	k n aa . p i g
Knapik	k n aa . p i k
knują	k n uu . j o w_
koalicje	k o . a . l ii . ts j e
koalicji	k o . a . l ii . ts i
koalicję	k o . a . l ii . ts j e
kobiet	k oo . b j e d
kobiet	k oo . b j e t
Kobieta	k o . b j ee . t a
kobietami	k o . b j e . t aa . m i
kobietom	k o . b j ee . t o m
kobiety	k o . b j ee . t y
kobietę	k o . b j ee . t e
kochaa	k o . x aa . a
kochanki	k o . x aa N_ . c i
kochanków	k o . x aa N_ . k u f
kochanków	k o . x aa N_ . k u v
Kochanowskiego	k o . x a . n o f s . c j ee . g o
Kochasie	k o . x aa . si e
kogo	k oo . g o
kogokolwiek	k o . g o . k oo l . v j e g
kogokolwiek	k o . g o . k oo l . v j e k
kogoś	k oo . g o si
kogoś	k oo . g o zi
kojarzone	k o . j a . rZ oo . n e
kolację	k o . l aa . ts j e
kolana	k o . l aa . n a
kolano	k o . l aa . n o
kolebką	k o . l ee . p k o w_
koledzy	k o . l ee . dz y
koleenski	k o . l e . ee w_ . s c i
kolega	k o . l ee . g a
kolegi	k o . l ee . gi i
kolegom	k o . l ee . g o m
kolegów	k o . l ee . g u f
kolegów	k o . l ee . g u v
kolei	k o . l ee . i
kolejarze	k o . l e . j aa . rZ e
kolejce	k o . l ee j . ts e
kolejek	k o . l ee . j e g
kolejek	k o . l ee . j e k
Kolejka	k o . l ee j . k a
kolejki	k o . l ee j . c i
kolejką	k o . l ee j . k o w_
kolejne	k o . l ee j . n e
Kolejni	k o . l ee j . ni i
kolejności	k o . l e j . n oo si . tsi i
kolejny	k o . l ee j . n y
kolejnych	k o . l ee j . n y x
kolejnym	k o . l ee j . n y m
kolejnymi	k o . l e j . n yy . m i
kolejną	k o . l ee j . n o w_
kolejowe	k o . l e . j oo . v e
koleżance	k o . l e . rZ aa n . ts e
koleżanką	k o . l e . rZ aa N_ . k o w_
koleżankę	k o . l e . rZ aa N_ . k e
Koleżeński	k o . l e . rZ ee j_ . s c i
Koleżeńskiego	k o . l e . rZ e j_ . s c j ee . g o
Kolizja	k o . l ii z . j a
kolizji	k o . l ii . z i
kolorem	k o . l oo . r e m
kolumna	k o . l uu m . n a
kolumny	k o . l uu m . n y
kolwiek	k oo l . v j e g
kolwiek	k oo l . v j e k
kombinatu	k o m . b i . n aa . t u
Komendy	k o . m ee n . d y
komentarza	k o . m e n . t aa . rZ a
komentarzami	k o . m e n . t a . rZ aa . m i
komentarze	k o . m e n . t aa . rZ e
komentarzy	k o . m e n . t aa . rZ y
komentator	k o . m e n . t aa . t o r
komentatorów	k o . m e n . t a . t oo . r u f
komentatorów	k o . m e n . t a . t oo . r u v
komentowaa	k o . m e n . t o . v aa . a
komentować	k o . m e n . t oo . v a dzi
komentować	k o . m e n . t oo . v a tsi
komentuje	k o . m e n . t uu . j e
komentując	k o . m e n . t uu . j o n dz
komentując	k o . m e n . t uu . j o n ts
komety	k o . m ee . t y
komfort	k oo w_ . f o r d
komfort	k oo w_ . f o r t
komfortowa	k o w_ . f o r . t oo . v a
komiksowego	k o . m i . k s o . v ee . g o
kominiarce	k o . m i . ni aa r . ts e
komisariatu	k o . m i . s a r . j aa . t u
Komisarz	k o . m ii . s a rZ
Komisarz	k o . m ii . s a Sz
komisja	k o . m ii . s j a
komisje	k o . m ii . s j e
Komisji	k o . m ii . s i
komisją	k o . m ii . s j o w_
komisję	k o . m ii . s j e
komitet	k o . m ii . t e d
komitet	k o . m ii . t e t
komitetu	k o . m i . t ee . t u
komornik	k o . m oo r . ni i g
komornik	k o . m oo r . ni i k
Komorowski	k o . m o . r oo . f s c i
Komorowskiego	k o . m o . r o f s . c j ee . g o
kompetencji	k o m . p e . t ee n . ts i
kompetentnego	k o m . p e . t e n . t n ee . g o
kompleks	k oo m . p l e g z
kompleks	k oo m . p l e k s
kompleksu	k o m . p l ee . k s u
kompleksy	k o m . p l ee . k s y
kompletowanie	k o m . p l e . t o . v aa . ni e
kompletowano	k o m . p l e . t o . v aa . n o
komponował	k o m . p o . n oo . v a w
kompozytora	k o m . p o . z y . t oo . r a
kompozytorem	k o m . p o . z y . t oo . r e m
kompozytorowi	k o m . p o . z y . t o . r oo . v i
kompozytorskiej	k o m . p o . z y . t oo r . s c j e j
Kompresją	k o m . p r ee . s j o w_
kompromisu	k o m . p r o . m ii . s u
kompromitacji	k o m . p r o . m i . t aa . ts i
kompromitować	k o m . p r o . m i . t oo . v a dzi
kompromitować	k o m . p r o . m i . t oo . v a tsi
kompromituje	k o m . p r o . m i . t uu . j e
komputer	k o m . p uu . t e r
komputera	k o m . p u . t ee . r a
komputerami	k o m . p u . t e . r aa . m i
Komputerowe	k o m . p u . t e . r oo . v e
komputerów	k o m . p u . t ee . r u f
komputerów	k o m . p u . t ee . r u v
komu	k oo . m u
komuchy	k o . m uu . x y
komunikacie	k o . m u . ni i . k aa . tsi e
komunikacji	k o . m u . ni i . k aa . ts i
komunikatów	k o . m u . ni i . k aa . t u f
komunikatów	k o . m u . ni i . k aa . t u v
komunistami	k o . m u . ni i s . t aa . m i
komunistycznej	k o . m u . ni i s . t yy . tSz n e j
komunizmie	k o . m u . ni ii zi . m j e
komuniści	k o . m u . ni ii si . tsi i
komuś	k oo . m u si
komuś	k oo . m u zi
komór	k oo . m u r
komórek	k o . m uu . r e g
komórek	k o . m uu . r e k
komórki	k o . m uu r . c i
komórkom	k o . m uu r . k o m
komórkowy	k o . m u r . k oo . v y
komórkę	k o . m uu r . k e
konca	k oo n . ts a
koncem	k oo n . ts e m
koncentrację	k o n . ts e n . t r aa . ts j e
koncentracyjny	k o n . ts e n . t r a . ts yy j . n y
koncentracyjnych	k o n . ts e n . t r a . ts yy j . n y x
koncentracyjnym	k o n . ts e n . t r a . ts yy j . n y m
koncentrowała	k o n . ts e n . t r o . v aa . w a
koncentruje	k o n . ts e n . t r uu . j e
koncepcja	k o n . ts ee . p ts j a
koncepcji	k o n . ts ee . p ts i
koncepcją	k o n . ts ee . p ts j o w_
koncernu	k o n . ts ee r . n u
koncerny	k o n . ts ee r . n y
koncert	k oo n . ts e r d
koncert	k oo n . ts e r t
koncowego	k o n . ts o . v ee . g o
koncowej	k o n . ts oo . v e j
koncu	k oo n . ts u
konczy	k oo n . tSz y
konczyli	k o n . tSz yy . l i
konczył	k oo n . tSz y w
konczyła	k o n . tSz yy . w a
kondolencyjnej	k o n . d o . l e n . ts yy j . n e j
kondominium	k o n . d o . m ii . ni u m
kondycje	k o n . d yy . ts j e
kondygnacji	k o n . d y . g n aa . ts i
konfabulują	k o n . f a . b u . l uu . j o w_
Konfederacja	k o n . f e . d e . r aa . ts j a
konferencja	k o n . f e . r ee n ts . j a
konferencje	k o n . f e . r ee n ts . j e
konferencji	k o n . f e . r ee n . ts i
konferencją	k o n . f e . r ee n ts . j o w_
konferencję	k o n . f e . r ee n ts . j e
konflikcie	k o n . f l ii . k tsi e
Konflikt	k oo n . f l i g d
Konflikt	k oo n . f l i k t
konfrontacji	k o n . f r o n . t aa . ts i
konfrontacyjnego	k o n . f r o n . t a . ts y j . n ee . g o
kongresmana	k o N_ . g r e s . m aa . n a
Kongresowej	k o N_ . g r e . s oo . v e j
Kongresu	k o N_ . g r ee . s u
koniec	k oo . ni e dz
koniec	k oo . ni e ts
konieczne	k o . ni ee . tSz n e
koniecznej	k o . ni ee . tSz n e j
koniecznie	k o . ni ee . tSz ni e
koniecznoa	k o . ni e . tSz n oo . a
konieczności	k o . ni e . tSz n oo si . tsi i
konik	k oo . ni i g
konik	k oo . ni i k
konika	k o . ni ii . k a
koniunktury	k o . ni u N_ . k t uu . r y
konkretne	k o N_ . k r ee . t n e
konkretnego	k o N_ . k r e . t n ee . g o
konkretny	k o N_ . k r ee . t n y
konkretnych	k o N_ . k r ee . t n y x
konkretnym	k o N_ . k r ee . t n y m
konkurencja	k o N_ . k u . r ee n ts . j a
konkurencji	k o N_ . k u . r ee n . ts i
konkurencję	k o N_ . k u . r ee n ts . j e
konkurencyjna	k o N_ . k u . r e n . ts yy j . n a
konkurencyjność	k o N_ . k u . r e n . ts yy j . n o si tsi
konkurencyjność	k o N_ . k u . r e n . ts yy j . n o zi dzi
konkurs	k oo N_ . k u r s
konkurs	k oo N_ . k u r z
konkursu	k o N_ . k uu r . s u
konkursy	k o N_ . k uu r . s y
konsekwencje	k o w_ . s e . k f ee n ts . j e
konsekwencji	k o w_ . s e . k f ee n . ts i
konsekwencją	k o w_ . s e . k f ee n ts . j o w_
konsekwentnie	k o w_ . s e . k f ee n . t ni e
konsekwentny	k o w_ . s e . k f ee n . t n y
konsekwentnym	k o w_ . s e . k f ee n . t n y m
konserwatystów	k o w_ . s e r . v a . t yy s . t u f
konserwatystów	k o w_ . s e r . v a . t yy s . t u v
konserwatywne	k o w_ . s e r . v a . t yy v . n e
konserwatywną	k o w_ . s e r . v a . t yy v . n o w_
konserwowaa	k o w_ . s e r . v o . v aa . a
konsorcjum	k o w_ . s oo r . ts j u m
konstrukcja	k o w_ . s t r uu . k ts j a
konstrukcji	k o w_ . s t r uu . k ts i
konstruktywne	k o w_ . s t r u . k t yy v . n e
konstruktywnej	k o w_ . s t r u . k t yy v . n e j
konstytucji	k o w_ . s t y . t uu . ts i
konstytucjonalistów	k o w_ . s t y . t u . ts j o . n a . l ii s . t u f
konstytucjonalistów	k o w_ . s t y . t u . ts j o . n a . l ii s . t u v
konstytucjonaliści	k o w_ . s t y . t u . ts j o . n a . l ii si . tsi i
Konstytucyjnego	k o w_ . s t y . t u . ts y j . n ee . g o
konstytucyjnych	k o w_ . s t y . t u . ts yy j . n y x
konsulatach	k o w_ . s u . l aa . t a x
konsultacje	k o w_ . s u l . t aa . ts j e
konsultacji	k o w_ . s u l . t aa . ts i
konsultant	k o w_ . s uu l . t a n d
konsultant	k o w_ . s uu l . t a n t
konsultantów	k o w_ . s u l . t aa n . t u f
konsultantów	k o w_ . s u l . t aa n . t u v
konsumenci	k o w_ . s u . m ee ni . tsi i
konta	k oo n . t a
kontakcie	k o n . t aa . k tsi e
kontakt	k oo n . t a g d
kontakt	k oo n . t a k t
kontaktach	k o n . t aa . k t a x
kontaktu	k o n . t aa . k t u
kontakty	k o n . t aa . k t y
kontaktów	k o n . t aa . k t u f
kontaktów	k o n . t aa . k t u v
kontekstem	k o n . t ee . k s t e m
kontekście	k o n . t ee . k si tsi e
kontenery	k o n . t e . n ee . r y
kontestacji	k o n . t e s . t aa . ts i
kontestowanie	k o n . t e s . t o . v aa . ni e
konto	k oo n . t o
Kontradmirał	k o n . t r a . d m ii . r a w
kontrakcie	k o n . t r aa . k tsi e
kontrakt	k oo n . t r a g d
kontrakt	k oo n . t r a k t
kontraktach	k o n . t r aa . k t a x
kontrakty	k o n . t r aa . k t y
kontrola	k o n . t r oo . l a
kontrole	k o n . t r oo . l e
kontroli	k o n . t r oo . l i
kontrolowali	k o n . t r o . l o . v aa . l i
kontrolowana	k o n . t r o . l o . v aa . n a
kontrolowanych	k o n . t r o . l o . v aa . n y x
kontrolować	k o n . t r o . l oo . v a dzi
kontrolować	k o n . t r o . l oo . v a tsi
kontrolą	k o n . t r oo . l o w_
kontrolę	k o n . t r oo . l e
kontrowersje	k o n . t r o . v ee r . s j e
kontrowersji	k o n . t r o . v ee r . s i
Kontrowersyjna	k o n . t r o . v e r . s yy j . n a
kontrowersyjnego	k o n . t r o . v e r . s y j . n ee . g o
Kontrowersyjny	k o n . t r o . v e r . s yy j . n y
kontrowersyjnym	k o n . t r o . v e r . s yy j . n y m
kontrwywiad	k o n . d r v yy v . j a d
kontrwywiad	k o n . d r v yy v . j a t
Kontrwywiadzie	k o n . d r v y v . j aa . dzi e
kontynentu	k o n . t y . n ee n . t u
kontynenty	k o n . t y . n ee n . t y
kontynuacja	k o n . t y . n u . aa . ts j a
kontynuowana	k o n . t y . n u . o . v aa . n a
konwencja	k o n . v ee n ts . j a
konwencji	k o n . v ee n . ts i
konwencjonalną	k o n . v e n ts . j o . n aa l . n o w_
konwencję	k o n . v ee n ts . j e
konwoje	k o n . v oo . j e
konwój	k oo n . v u j
koordynatora	k o . o r . d y . n a . t oo . r a
kop	k oo b
kop	k oo p
Kopacz	k oo . p a drZ
Kopacz	k oo . p a tSz
kopalni	k o . p aa l . ni i
kopalnia	k o . p aa l . ni a
kopalniach	k o . p aa l . ni a x
kopalniane	k o . p a l . ni aa . n e
kopalń	k oo . p a l ni
kopertami	k o . p e r . t aa . m i
Koranu	k o . r aa . n u
korki	k oo r . c i
koron	k oo . r o n
korporacji	k o r . p o . r aa . ts i
korupcję	k o . r uu . p ts j e
korupcyjnych	k o . r u . p ts yy j . n y x
Korybutem	k o . r y . b uu . t e m
korytarz	k o . r yy . t a rZ
korytarz	k o . r yy . t a Sz
korytarzu	k o . r y . t aa . rZ u
korzysta	k o . rZ yy s . t a
korzystaa	k o . rZ y s . t aa . a
korzystania	k o . rZ y s . t aa . ni a
korzystać	k o . rZ yy s . t a dzi
korzystać	k o . rZ yy s . t a tsi
korzystał	k o . rZ yy s . t a w
korzystała	k o . rZ y s . t aa . w a
korzystne	k o . rZ yy s . t n e
korzystniej	k o . rZ yy s . t ni e j
korzystniejszy	k o . rZ y s . t ni ee j . Sz y
korzyści	k o . rZ yy si . tsi i
korzyściami	k o . rZ y si . tsi aa . m i
korzyść	k oo . rZ y si tsi
korzyść	k oo . rZ y zi dzi
kosmiczna	k o s . m ii . tSz n a
Kosmicznej	k o s . m ii . tSz n e j
kosmiczny	k o s . m ii . tSz n y
koszmar	k oo Sz . m a r
koszt	k oo rZ d
koszt	k oo Sz t
kosztach	k oo Sz . t a x
kosztem	k oo Sz . t e m
kosztom	k oo Sz . t o m
kosztować	k o Sz . t oo . v a dzi
kosztować	k o Sz . t oo . v a tsi
kosztował	k o Sz . t oo . v a w
Kosztowne	k o Sz . t oo v . n e
kosztu	k oo Sz . t u
kosztuje	k o Sz . t uu . j e
kosztują	k o Sz . t uu . j o w_
koszty	k oo Sz . t y
kosztów	k oo Sz . t u f
kosztów	k oo Sz . t u v
Kowalski	k o . v aa l . s c i
Kowalskiego	k o . v a l . s c j ee . g o
kowbojski	k o v . b oo j . s c i
Kozak	k oo . z a g
Kozak	k oo . z a k
Kozłowska	k o . z w oo . f s k a
Kozłowskiej	k o . z w oo f s . c j e j
Koła	k oo . w a
koło	k oo . w o
końca	k oo ni . ts a
końcowej	k o ni . ts oo . v e j
końcu	k oo ni . ts u
kończynach	k o ni . tSz yy . n a x
kończącego	k o ni . tSz o n . ts ee . g o
kości	k oo si . tsi i
kościach	k oo si . tsi a x
kościele	k o si . tsi ee . l e
